	class	left_weight	left_distance	right_weight	right_distance
2	2	2	4	4	3
9	0	2	2	1	3
11	0	2	4	4	1
13	2	3	3	3	5
16	0	3	4	5	2
19	0	4	5	3	2
23	0	4	4	5	2
24	2	4	2	2	5
25	0	3	5	1	5
27	0	5	4	3	2
28	2	3	1	3	5
29	0	4	4	4	1
32	0	5	4	2	5
33	2	3	1	5	3
35	2	4	1	1	5
36	2	2	1	4	4
39	2	5	2	5	5
40	1	5	4	4	5
41	0	2	5	2	4
42	0	4	2	2	2
43	2	1	1	5	1
44	0	5	3	1	3
47	0	5	2	2	1
53	2	3	5	4	5
57	0	4	5	3	3
58	2	5	1	3	2
61	2	1	1	2	2
63	2	2	1	3	1
67	2	1	1	1	5
69	0	3	4	3	3
70	2	1	2	3	5
72	2	1	1	2	4
73	2	1	1	2	5
79	2	3	1	3	2
80	0	5	3	2	3
81	0	4	3	3	2
82	2	5	2	4	5
83	0	5	2	5	1
84	2	1	2	5	1
86	2	2	5	3	5
87	0	5	4	3	3
88	2	4	4	4	5
91	2	2	2	3	5
93	2	1	2	5	4
94	2	4	2	5	2
95	0	4	2	5	1
98	0	3	3	2	2
99	1	1	3	3	1
104	0	5	2	3	1
105	0	5	2	2	4
106	0	4	5	1	5
109	2	1	2	1	4
110	0	5	2	1	3
111	2	1	5	3	3
114	2	1	2	4	2
115	2	1	4	2	5
116	2	2	1	3	5
117	2	1	1	3	2
119	0	5	1	1	4
120	2	3	1	4	2
121	2	2	3	5	4
123	0	2	4	1	4
125	2	3	4	3	5
128	2	5	1	2	5
129	1	4	3	4	3
130	2	1	1	4	4
131	0	4	2	3	1
133	1	1	5	5	1
136	2	3	3	5	3
138	2	1	2	2	5
139	0	5	5	5	2
143	2	1	4	2	4
145	0	3	5	3	3
146	0	3	5	4	3
147	2	3	5	5	5
148	0	2	2	3	1
149	2	4	1	4	2
150	0	2	5	1	1
151	2	5	3	5	5
152	2	2	3	4	2
156	0	5	4	2	1
160	0	4	5	2	1
161	0	3	5	4	2
164	0	4	1	1	3
166	2	2	2	2	3
168	2	4	3	5	3
169	0	4	5	2	5
174	0	1	5	1	1
176	2	5	3	5	4
177	2	4	1	3	5
180	2	2	5	5	4
182	2	1	2	4	4
183	0	3	3	2	3
184	2	3	4	4	4
189	0	2	5	2	1
191	0	3	5	3	4
192	2	4	3	5	4
195	2	1	3	3	2
197	2	3	1	1	4
198	0	4	3	3	1
199	2	1	3	5	4
201	1	3	1	1	3
203	0	4	5	2	2
204	2	4	2	3	3
207	2	1	1	4	5
209	2	3	3	4	4
212	0	3	2	1	1
214	1	1	2	2	1
215	0	4	4	1	4
216	0	5	5	4	4
217	1	2	5	5	2
218	0	4	3	1	3
221	2	1	5	4	5
223	2	3	4	5	4
226	0	1	4	2	1
227	0	1	4	1	1
228	2	1	1	3	4
232	2	2	3	4	4
234	0	5	4	3	5
237	2	2	5	5	3
238	0	5	3	2	1
241	0	1	3	2	1
244	2	2	2	3	2
248	0	2	1	1	1
251	1	3	3	3	3
253	2	3	2	4	4
254	2	2	2	3	3
255	0	4	5	1	1
256	0	3	4	1	1
257	1	5	1	5	1
258	2	5	2	3	5
259	2	3	2	5	5
260	0	5	4	2	3
265	1	2	3	2	3
267	2	3	3	3	4
269	2	1	3	5	3
270	2	4	4	5	5
273	2	3	1	2	4
274	2	5	4	5	5
275	2	2	4	5	5
277	0	4	5	1	4
280	2	5	2	5	3
286	0	1	4	3	1
287	0	1	5	1	2
288	0	3	3	1	5
289	0	4	4	3	3
290	0	4	4	2	5
291	0	1	3	1	2
292	2	2	1	4	2
295	0	5	5	1	2
296	0	5	3	5	2
297	0	5	4	5	3
300	0	4	4	2	4
302	0	4	2	1	5
305	2	1	2	3	2
307	0	5	1	3	1
309	0	5	5	1	4
314	2	2	2	3	4
317	2	5	2	3	4
321	2	2	1	3	4
322	2	5	1	2	3
323	1	5	1	1	5
324	2	1	1	3	5
326	0	3	3	5	1
327	1	3	1	3	1
328	1	4	5	4	5
329	0	3	4	5	1
331	2	4	1	2	4
335	0	3	5	5	1
340	1	1	2	1	2
341	0	5	3	1	5
342	1	1	3	1	3
347	1	2	5	2	5
349	0	4	3	1	4
352	0	5	5	3	4
353	0	5	5	3	1
354	2	1	3	4	1
357	0	2	5	5	1
359	2	4	3	4	5
360	2	1	1	2	3
364	2	1	1	3	1
368	2	4	4	5	4
370	0	5	2	1	5
371	2	4	1	5	3
372	2	5	2	5	4
373	2	5	1	3	3
374	0	3	5	3	2
376	0	4	3	2	1
377	1	4	1	2	2
379	1	1	1	1	1
381	0	4	2	3	2
382	1	5	4	5	4
383	1	4	2	4	2
384	0	2	2	1	2
387	0	3	3	4	2
388	0	5	3	1	1
393	2	2	5	4	5
394	2	1	4	5	2
396	0	4	5	5	3
397	2	4	1	5	5
398	2	2	2	5	4
400	0	3	4	2	5
407	2	1	3	4	5
410	0	3	5	2	3
411	2	1	1	1	4
413	2	5	3	4	5
416	0	2	3	1	4
419	0	3	4	2	1
421	0	3	2	4	1
422	0	4	3	5	2
423	2	5	1	4	4
426	0	5	5	3	2
428	2	1	5	5	5
430	2	3	1	4	1
431	0	5	1	2	2
438	2	2	2	4	5
440	2	1	3	2	2
441	2	1	2	4	3
442	0	5	1	2	1
443	2	1	4	4	3
444	0	3	1	2	1
445	2	1	4	4	4
446	2	2	1	1	3
447	2	4	1	3	4
448	2	2	1	5	5
449	2	2	5	4	4
450	0	4	4	2	2
451	0	4	5	3	1
454	1	5	2	2	5
456	0	5	2	1	1
459	2	2	1	2	4
460	0	1	5	3	1
461	2	3	1	5	4
462	0	4	3	4	1
464	0	3	5	5	2
468	0	4	5	4	2
469	0	5	3	2	5
470	0	2	5	1	2
472	2	1	5	4	4
478	0	5	4	2	2
481	0	4	3	1	5
485	0	2	5	3	3
486	0	3	1	1	2
488	0	2	3	2	1
489	1	1	4	4	1
490	1	4	1	4	1
491	2	2	2	2	5
492	2	2	1	1	5
494	0	4	4	1	5
505	0	2	4	3	2
510	0	2	4	1	5
512	0	3	4	3	2
513	0	5	2	3	3
515	2	2	1	2	2
517	2	1	3	2	4
520	2	1	2	2	3
521	0	5	4	4	2
522	0	1	5	2	2
523	0	3	5	2	4
525	0	5	5	2	2
528	2	2	4	4	5
529	2	4	1	5	1
530	0	3	3	2	1
531	2	1	4	4	2
532	2	1	3	4	3
533	2	3	1	5	1
534	0	5	1	1	3
535	0	5	2	1	2
537	1	1	4	2	2
539	2	3	2	3	4
540	2	2	2	5	1
543	2	2	5	3	4
544	2	3	2	4	3
549	2	2	1	2	3
550	1	5	5	5	5
551	2	2	1	5	2
552	2	4	2	4	4
553	0	2	4	2	3
554	2	5	1	4	5
555	0	4	3	2	2
556	0	2	3	1	1
557	0	4	4	4	3
559	2	1	5	3	2
563	2	3	1	1	5
565	0	2	5	1	3
567	2	2	4	5	4
570	2	5	1	3	4
571	0	5	3	4	3
575	2	1	4	3	3
579	0	3	4	2	3
584	0	1	3	1	1
585	0	2	3	5	1
586	1	3	2	2	3
588	0	4	1	3	1
589	2	1	3	5	1
590	2	3	2	5	3
594	2	2	3	4	3
596	2	3	5	4	4
598	0	5	3	2	4
599	0	5	4	1	1
600	2	2	1	5	1
601	0	4	1	1	1
604	2	3	4	4	5
605	0	3	5	2	2
607	2	2	1	1	4
608	2	2	1	4	3
610	1	5	3	3	5
611	2	1	3	5	5
612	0	5	5	4	2
614	0	5	2	1	4
616	0	3	5	1	3
622	0	4	4	1	3
